date,store_id,store_name,dish_id,dish_name,category,qty,unit_price,revenue,cost,customer_count
2026-04-01,S001,颛桥龙湖店,D001,招牌烤肋排,烤肉类,12,88.00,1056.00,420.00,45
2026-04-01,S001,颛桥龙湖店,D002,唏嘛香套餐,套餐,20,68.00,1360.00,490.00,45
2026-04-01,S002,徐汇日月光店,D003,蜂蜜柠檬水,饮品,35,18.00,630.00,105.00,62
2026-04-01,S003,浦东联洋店,D004,牛肉炒饭,主食,28,32.00,896.00,310.00,38
2026-04-02,S001,颛桥龙湖店,D005,炸鸡小食拼盘,小食,18,45.00,810.00,270.00,50
2026-04-02,S002,徐汇日月光店,D001,招牌烤肋排,烤肉类,22,88.00,1936.00,770.00,70
2026-04-02,S002,徐汇日月光店,D006,葱花拌面,主食,40,22.00,880.00,290.00,70
2026-04-02,S003,浦东联洋店,D007,草莓奶昔,饮品,15,25.00,375.00,88.00,32
2026-04-03,S001,颛桥龙湖店,D008,麻辣烫套餐,套餐,25,58.00,1450.00,540.00,55
2026-04-03,S002,徐汇日月光店,D009,薯条小食,小食,48,20.00,960.00,290.00,75
2026-04-03,S003,浦东联洋店,D002,唏嘛香套餐,套餐,18,68.00,1224.00,440.00,40
2026-04-04,S001,颛桥龙湖店,D003,蜂蜜柠檬水,饮品,22,18.00,396.00,66.00,48
2026-04-04,S001,颛桥龙湖店,D010,烤猪颈肉,烤肉类,14,95.00,1330.00,530.00,48
2026-04-04,S002,徐汇日月光店,D008,麻辣烫套餐,套餐,30,58.00,1740.00,625.00,80
2026-04-04,S003,浦东联洋店,D004,牛肉炒饭,主食,32,32.00,1024.00,355.00,42
2026-04-05,S002,徐汇日月光店,D011,冰镇杨枝甘露,饮品,50,28.00,1400.00,210.00,75
2026-04-05,S003,浦东联洋店,D001,招牌烤肋排,烤肉类,10,88.00,880.00,352.00,30
2026-04-05,S003,浦东联洋店,D005,炸鸡小食拼盘,小食,20,45.00,900.00,300.00,30
2026-04-06,S001,颛桥龙湖店,D006,葱花拌面,主食,38,22.00,836.00,275.00,52
2026-04-06,S002,徐汇日月光店,D010,烤猪颈肉,烤肉类,18,95.00,1710.00,680.00,68
2026-04-06,S003,浦东联洋店,D007,草莓奶昔,饮品,12,25.00,300.00,70.00,25
2026-04-07,S001,颛桥龙湖店,D002,唏嘛香套餐,套餐,22,68.00,1496.00,540.00,56
2026-04-07,S002,徐汇日月光店,D004,牛肉炒饭,主食,45,32.00,1440.00,500.00,78
2026-04-07,S003,浦东联洋店,D009,薯条小食,小食,30,20.00,600.00,180.00,35
2026-04-08,S001,颛桥龙湖店,D011,冰镇杨枝甘露,饮品,28,28.00,784.00,117.00,58
2026-04-08,S002,徐汇日月光店,D005,炸鸡小食拼盘,小食,25,45.00,1125.00,375.00,72
2026-04-09,S001,颛桥龙湖店,D001,招牌烤肋排,烤肉类,16,88.00,1408.00,562.00,60
2026-04-09,S003,浦东联洋店,D008,麻辣烫套餐,套餐,22,58.00,1276.00,460.00,44
2026-04-10,S002,徐汇日月光店,D002,唏嘛香套餐,套餐,35,68.00,2380.00,855.00,80
2026-04-10,S003,浦东联洋店,D010,烤猪颈肉,烤肉类,8,95.00,760.00,304.00,28
