user_input,intent_code,intent_description,label
# SmartBI 意图 - sales_overview (销售概览)
这个月销售怎么样,sales_overview,销售情况概览查询,1
看一下销售情况,sales_overview,销售情况概览查询,1
我想了解下销售数据,sales_overview,销售情况概览查询,1
销售额是多少,sales_overview,销售情况概览查询,1
最近销售如何,sales_overview,销售情况概览查询,1
查下营收,sales_overview,销售情况概览查询,1
本周卖了多少,sales_overview,销售情况概览查询,1
销售报告给我看看,sales_overview,销售情况概览查询,1
整体业绩怎样,sales_overview,销售情况概览查询,1
收入情况汇报,sales_overview,销售情况概览查询,1
今天销量,sales_overview,销售情况概览查询,1
昨天的销售,sales_overview,销售情况概览查询,1
上个月销售额,sales_overview,销售情况概览查询,1
这周营业额多少,sales_overview,销售情况概览查询,1
季度销售总结,sales_overview,销售情况概览查询,1
年度销售情况,sales_overview,销售情况概览查询,1
销售数据汇总,sales_overview,销售情况概览查询,1
帮我查销售,sales_overview,销售情况概览查询,1
看看卖了多少钱,sales_overview,销售情况概览查询,1
营收数据查询,sales_overview,销售情况概览查询,1
删除销售记录,sales_overview,销售情况概览查询,0
修改销售数据,sales_overview,销售情况概览查询,0
谁的销售最好,sales_overview,销售情况概览查询,0
哪个产品卖得好,sales_overview,销售情况概览查询,0
预测下个月销售,sales_overview,销售情况概览查询,0
# SmartBI 意图 - sales_ranking (销售排名)
谁卖得最好,sales_ranking,销售业绩排名查询,1
销售排名看看,sales_ranking,销售业绩排名查询,1
TOP10销售员,sales_ranking,销售业绩排名查询,1
业绩排行榜,sales_ranking,销售业绩排名查询,1
销冠是谁,sales_ranking,销售业绩排名查询,1
前三名业绩,sales_ranking,销售业绩排名查询,1
哪个业务员最厉害,sales_ranking,销售业绩排名查询,1
销售员业绩排名,sales_ranking,销售业绩排名查询,1
看下销售排行,sales_ranking,销售业绩排名查询,1
业绩最好的是谁,sales_ranking,销售业绩排名查询,1
销量第一是谁,sales_ranking,销售业绩排名查询,1
排名前五的销售,sales_ranking,销售业绩排名查询,1
谁的业绩最高,sales_ranking,销售业绩排名查询,1
团队销售排名,sales_ranking,销售业绩排名查询,1
本月销冠,sales_ranking,销售业绩排名查询,1
销售总额,sales_ranking,销售业绩排名查询,0
修改排名,sales_ranking,销售业绩排名查询,0
销售趋势,sales_ranking,销售业绩排名查询,0
# SmartBI 意图 - sales_trend (销售趋势)
销售趋势怎样,sales_trend,销售趋势分析,1
最近销售走势,sales_trend,销售趋势分析,1
销量变化图,sales_trend,销售趋势分析,1
销售增长趋势,sales_trend,销售趋势分析,1
这周的销售趋势,sales_trend,销售趋势分析,1
每天的销售变化,sales_trend,销售趋势分析,1
销售曲线,sales_trend,销售趋势分析,1
月度销售走势,sales_trend,销售趋势分析,1
销售波动情况,sales_trend,销售趋势分析,1
日销售趋势图,sales_trend,销售趋势分析,1
周趋势分析,sales_trend,销售趋势分析,1
销售涨跌情况,sales_trend,销售趋势分析,1
